视频URL,UP主昵称,视频标题,播放量,弹幕数
https://www.bilibili.com/video/BV1UEFPejEcb,小孩哥Bob,我要逃离Level 94！Dreamcore#1,87.1万,3848
https://www.bilibili.com/video/BV1TGfUYKE6r,峡谷混学家,混子的网吧生活,101.3万,3370
https://www.bilibili.com/video/BV1X9foYuEfV,进击的金厂长,春晚：今晚我要打十个？！,127.4万,1541
https://www.bilibili.com/video/BV1m2FnewE18,侯绿萝,祝你们无功受禄，不劳而获,57.8万,3.4万
https://www.bilibili.com/video/BV11ZfUYeEgJ,磷火动漫,穿越成海帕杰顿 怪兽当主食 奥特曼当下饭菜P6,160.3万,2596
https://www.bilibili.com/video/BV1HgFNerE66,小缸,骑摩托去了-30℃的冰天雪地，似乎也无需向谁再证明自己,61.5万,1.4万
https://www.bilibili.com/video/BV1acf5Y1Egj,木悦Yue,这一刀！特辣的海藻！！！,298.6万,3.2万
https://www.bilibili.com/video/BV1EvfrYTEuY,二师兄不好拉,《网友对春晚的容忍度》,210.9万,744
https://www.bilibili.com/video/BV1WuFNeGEug,棉白有点笨,【逆天家长】取消寒假？学生不配放假？！,67.8万,1.4万
https://www.bilibili.com/video/BV1VzfzYdERU,尴尬的铁根er,《我剑也未尝不利》,283.8万,2045
https://www.bilibili.com/video/BV1AJFpebECL,星雨Starrain,“诸 神 之 战”,210万,606
https://www.bilibili.com/video/BV1wQFNeCEpQ,谭乔,【福贵】【二仙桥大爷】领片酬！演员身份实锤！,111.6万,2073
https://www.bilibili.com/video/BV1rcFHeQEhP,僵尸教授-,【蛋仔自习室109】神游贺岁全新双转盘机制！多少才能出至臻 白给十连能出什么？,115.5万,415
https://www.bilibili.com/video/BV18hFxemEWx,凤凰传奇,【凤凰传奇蛇年春晚】中国传统建筑创演秀【栋梁】,68.7万,2174
https://www.bilibili.com/video/BV1jkF4eFEn1,马里奥红叔,超难惊变生存「僵尸病毒计划」第一期!!？,57.4万,1.1万
https://www.bilibili.com/video/BV1UsfoYFERQ,面壁者牢波official,[b站扫盲计划07]你真的懂b站的弹幕吗？,104.5万,28.5万
https://www.bilibili.com/video/BV1RXffYmEWS,尹橙橙的喵喵屋,猫咪难产，这波看我喵手回春，熬战7小时，最终战绩7-0！,143.8万,767
https://www.bilibili.com/video/BV1txfmYqEVV,提瓦特调查猿,【原神】庆幸吧，胡桃她只是声音变了！！！,103.3万,1.9万
https://www.bilibili.com/video/BV1U7FKeREfu,七颗猩猩QKXX,谁想吃王妈炸的丸子,135.3万,1482
https://www.bilibili.com/video/BV1rcfmY9Eba,虫哥说电影,早期春晚创造的热门大盘点！这才是真正的一夜爆红~,208.9万,1.3万
https://www.bilibili.com/video/BV1NBfSYMEG8,Jack-Cui,DeepSeek R1，本地部署才是王道！,69.1万,731
https://www.bilibili.com/video/BV1PNfkY2EiG,李三思原创漫画,结婚后的生活会幸福吗,99.1万,5622
https://www.bilibili.com/video/BV1LxfkYAE4L,炒蛋车间长,8斤体重，全身灯组，电动加特林，只要298？国产机甲越玩越花了！,89.8万,1784
https://www.bilibili.com/video/BV1U9FpeNEjv,江寻千,我用冰雕了一条美人鱼,82.3万,810
https://www.bilibili.com/video/BV1YafdYvEhV,罗枫F,第一集：阳光下的吸血鬼,582.3万,837
https://www.bilibili.com/video/BV1SSfDYmEYp,老外克里斯,热呼中式早餐,243.4万,602
https://www.bilibili.com/video/BV1NiffY8Eue,圆桌动漫,新年快乐，但是圆桌宇宙版,181.3万,1.1万
https://www.bilibili.com/video/BV1t5frYDEnk,宝剑嫂,紧张！六个好朋友第一次录歌，太好玩了！！！,77.6万,2631
https://www.bilibili.com/video/BV1NrFAekExU,某幻君,作者防止孩子出门做的游戏,170.9万,2.3万
https://www.bilibili.com/video/BV1TgfUYqEJD,星有野,（ 今 天 除 夕   这 么 有 节 目 ??  ）,69.1万,8303
https://www.bilibili.com/video/BV1g3fXYpEvn,林子末,2025原神新春会-「共聚此时」,47.6万,8823
https://www.bilibili.com/video/BV1o6fnYGEf5,伊密尔丶,《关于伪人帮我玩原神这件事》,120万,286
https://www.bilibili.com/video/BV17vfzYbEXW,小王音乐盘点,盘点千万点赞级别的神级翻唱，你都刷到过吗？,164.3万,195
